parts: ["NOT dq", "dr"]
ig = <- Some(Wire("id")) "ASSIGN" None

ar = <- Some(Wire("an")) "ASSIGN" None

ai = <- Some(Wire("af")) "ASSIGN" None

az = <- Some(Wire("aw")) "ASSIGN" None

ba = <- Some(Wire("at")) "ASSIGN" None

iz = <- Some(Wire("iw")) "ASSIGN" None

bf = <- Some(Wire("as")) "ASSIGN" None

iy = <- Some(Wire("iw")) "ASSIGN" None

ju = <- Some(Wire("jr")) "ASSIGN" None

gy = <- Some(Wire("gv")) "ASSIGN" None

ak = <- Some(Wire("x")) "ASSIGN" None

cv = <- Some(Wire("ci")) "ASSIGN" None

ae = <- Some(Wire("ab")) "ASSIGN" None

v = <- Some(Wire("b")) "ASSIGN" None

as = <- Some(Wire("aq")) "ASSIGN" None

dt = <- Some(Signal(1)) "ASSIGN" None

ef = <- Some(Wire("ec")) "ASSIGN" None

ck = <- Some(Wire("ci")) "ASSIGN" None

ce = <- Some(Wire("bk")) "ASSIGN" None

bp = <- Some(Wire("bn")) "ASSIGN" None

jz = <- Some(Wire("NOT")) "ASSIGN" None

ec = <- Some(Wire("ea")) "ASSIGN" None

cn = <- Some(Wire("ck")) "ASSIGN" None

ko = <- Some(Wire("km")) "ASSIGN" None

el = <- Some(Wire("dy")) "ASSIGN" None

bk = <- Some(Wire("bj")) "ASSIGN" None

eu = <- Some(Wire("et")) "ASSIGN" None

dc = <- Some(Wire("cy")) "ASSIGN" None

m = <- Some(Wire("NOT")) "ASSIGN" None

fg = <- Some(Wire("et")) "ASSIGN" None

ix = <- Some(Wire("iu")) "ASSIGN" None

dd = <- Some(Wire("db")) "ASSIGN" None

q = <- Some(Wire("NOT")) "ASSIGN" None

kl = <- Some(Wire("kk")) "ASSIGN" None

gd = <- Some(Wire("ga")) "ASSIGN" None

lb = <- Some(Wire("kh")) "ASSIGN" None

ci = <- Some(Wire("cg")) "ASSIGN" None

gz = <- Some(Signal(1)) "ASSIGN" None

cz = <- Some(Wire("cf")) "ASSIGN" None

ir = <- Some(Wire("iq")) "ASSIGN" None

dg = <- Some(Wire("dd")) "ASSIGN" None

ho = <- Some(Wire("NOT")) "ASSIGN" None

fd = <- Some(Wire("NOT")) "ASSIGN" None

by = <- Some(Wire("bv")) "ASSIGN" None

bh = <- Some(Wire("be")) "ASSIGN" None

er = <- Some(Wire("dy")) "ASSIGN" None

dy = <- Some(Wire("dw")) "ASSIGN" None

it = <- Some(Wire("ip")) "ASSIGN" None

de = <- Some(Wire("dd")) "ASSIGN" None

hs = <- Some(Wire("NOT")) "ASSIGN" None


